term_id	p_value	bh_fdr	log2err	ES	NES	intersected_set_size	leading_edge_ids	status	collection	term_name	original_set_size	direction	rank_statistic	rank_gene_count	rank_tie_member_fraction	score_exponent	source_snapshot	leading_edge_symbols
NA	NA	NA	NA	NA	NA	NA	NA	MSIGDB_HALLMARK_NOT_RUN_LICENSE_REVIEW_UNCONFIRMED	MSigDB_Hallmark	NA	NA	not_applicable	not_run	20357	NA	NA	No MSigDB collection downloaded or redistributed	NA
R-HSA-73894	8.34933306011549e-14	1.14135382931779e-10	0.954541630725724	0.453661468540967	2.16787687644855	305	51514;9768;55215;2177;3978;2188;580;5424;6996;80010;7706;23030;10635;5437;3838;51588;55120;10401;27339;63979;3980;5423;9636;86;890;56852;22976;3014;84126;29089;8349;5983;83695;79913;29844;5531;80233;201254;9656;5427;5111;283899;25913;2189;348654;8930;1763;124739;80198;2237;5984;5426;85236;54891;8334;4913;5883;7874;5888;116028;197342;64708;8505;5591;378708;4798;5430;11284;54936;9682;7329;641;1017;1643;7515;83990;7158;9557;8365;11200;5433;4350;8607;9246;7156;85015;144715;7374;5810;6612;2140;55775;7320;9937;142;2068;8924;6047;8337;2074;65057;8347;7520;9100;672;79728;2956;7468;4361;121642;5599;7486;9025;5932;7415	completed	Reactome_preranked_GSEA_fallback	DNA Repair	334	cancer_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	DTL;PCLAF;FANCI;FANCD2;LIG1;FANCF;BARD1;POLD1;TDG;RMI1;TRIM25;KDM4B;RAD51AP1;POLR2H;KPNA2;PIAS4;FANCL;PIAS3;PRPF19;FIGNL1;LIG3;POLB;ISG15;ACTL6A;CCNA2;RAD18;PAXIP1;H2AX;ATRIP;UBE2T;H2BC21;RFC3;RHNO1;ACTR5;TFPT;PPP4C;FAAP100;CENPX;MDC1;POLE2;PCNA;INO80E;POT1;FANCG;GEN1;MBD4;DNA2;USP43;MUS81;FEN1;RFC4;POLE;H2BC12;INO80D;H2AC6;NTHL1;RAD9A;USP7;RAD51;RMI2;EME2;COPS7B;PARG;PRKDC;CENPS;NFRKB;POLR2A;PNKP;ADPRS;KDM4A;UBE2I;BLM;CDK2;DDB2;XRCC1;BRIP1;TP53BP1;CHD1L;H4C8;CHEK2;POLR2D;MPG;RUVBL1;UBE2L6;TOP3A;USP45;RAD9B;UNG;RAD1;SUMO3;EYA3;TDP1;UBE2B;DCLRE1A;PARP1;ERCC2;HERC2;RNF4;H2AC18;ERCC6;ACD;H2BC4;XRCC5;USP10;BRCA1;PALB2;MSH6;NSD2;MRE11;ALKBH2;MAPK8;WRN;RNF8;RBBP8;VCP
R-HSA-69620	2.61304082215509e-13	1.78601340194301e-10	0.932595211336209	0.463049155236143	2.16873772975789	270	2810;55920;51433;9134;991;891;4171;11130;55055;580;983;11065;80010;57082;9133;51588;64105;7465;4999;5905;348995;890;11004;701;83540;3014;84126;79019;8349;5983;79682;83695;4194;9656;1058;1763;151246;5984;79172;85236;8317;10926;10403;140735;1452;4176;2932;5883;55143;11243;29882;9735;116028;147841;55839;5518;378708;4193;993;641;1017;64682;5001;83990;7158;55388;8365;11200;4173;57405;7514;1778;7156;54820;7529;144715;5810;5527;332;79902;4928;8924;4174;6500;51434;23279;25909;8347;672;7468;4361;23421;7486;9025;5932;699;54821;4172;7533	completed	Reactome_preranked_GSEA_fallback	Cell Cycle Checkpoints	292	cancer_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	SFN;RCC2;ANAPC5;CCNE2;CDC20;CCNB1;MCM2;ZWINT;ZWILCH;BARD1;CDK1;UBE2C;RMI1;KNL1;CCNB2;PIAS4;CENPK;WEE1;ORC2;RANGAP1;NUP43;CCNA2;KIF2C;BUB1B;NUF2;H2AX;ATRIP;CENPM;H2BC21;RFC3;CENPU;RHNO1;MDM4;MDC1;CENPA;DNA2;SGO2;RFC4;CENPO;H2BC12;CDC7;DBF4;NDC80;DYNLL2;CSNK1A1;MCM7;GSK3B;RAD9A;CDCA8;PMF1;ANAPC2;KNTC1;RMI2;SPC24;CENPN;PPP2R1A;CENPS;MDM2;CDC25A;BLM;CDK2;ANAPC1;ORC5;BRIP1;TP53BP1;MCM10;H4C8;CHEK2;MCM4;SPC25;XPO1;DYNC1H1;TOP3A;NDE1;YWHAB;RAD9B;RAD1;PPP2R5C;BIRC5;NUP85;NUP98;HERC2;MCM5;SKP1;ANAPC7;NUP160;AHCTF1;H2BC4;BRCA1;NSD2;MRE11;ITGB3BP;WRN;RNF8;RBBP8;BUB1;ERCC6L;MCM3;YWHAH
R-HSA-4839726	1.00597382483418e-10	4.58388739516108e-08	0.839088935621274	0.441555662980462	2.05621335366977	253	5928;2146;1108;23067;64754;6599;23133;23030;22992;1107;54014;8085;1788;9112;10856;29998;86;2648;55250;9757;25855;55193;23326;3014;9643;8349;54934;64426;26039;196528;8295;10919;7994;10902;84289;8357;339287;51111;85236;9869;3065;10499;8334;117143;92815;54815;79918;8089;1387;11091;5929;6603;23186;9767;58508;54904;9682;55257;64769;595;8289;5927;221656;84678;8365;23338;5253;8607;23512;7862;11240;5931;5977;284058;2033;8726;57634;93624;8337;56970;8347;10498;7468;23135;55818;79813;6944;387893;5970;27097;80853;9274;6314;23506;56950;9739	completed	Reactome_preranked_GSEA_fallback	Chromatin organization	286	cancer_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	RBBP4;EZH2;CHD4;SETD1B;SMYD3;SMARCC1;PHF8;KDM4B;KDM2A;CHD3;BRWD1;KMT2D;DNMT3A;MTA1;RUVBL2;BICRA;ACTL6A;KAT2A;ELP2;KMT2B;BRMS1;PBRM1;USP22;H2AX;MORF4L2;H2BC21;KANSL2;SUDS3;SS18L1;ARID2;TRRAP;EHMT2;KAT6A;BRD8;ING5;H3C10;MSL1;KMT5B;H2BC12;SETDB1;HDAC1;NCOA2;H2AC6;TADA1;H2AC25;GATAD2A;SETD6;YEATS4;CREBBP;WDR5;RBBP5;SMARCD2;RCOR1;JADE3;KMT2C;NSD3;KDM4A;MRGBP;MEAF6;CCND1;ARID1A;KDM5A;KDM1B;KDM2B;H4C8;JADE2;PHF2;RUVBL1;SUZ12;BRPF1;PADI2;RBBP7;DPF2;KANSL1;EP300;EED;EP400;TADA2B;H2AC18;ATXN7L3;H2BC4;CARM1;NSD2;KDM6B;KDM3A;EHMT1;VPS72;KMT5A;RELA;TAF5L;KDM7A;BCL7C;ATXN7;BICRAL;SMYD2;SETD1A
R-HSA-3247509	2.44772244232188e-10	8.36509144663501e-08	0.814035837847908	0.450118485134095	2.07988681578029	238	5928;2146;1108;23067;64754;6599;23133;23030;22992;1107;54014;8085;1788;9112;10856;86;2648;55250;9757;25855;55193;23326;3014;9643;8349;54934;64426;196528;8295;10919;7994;10902;84289;8357;339287;51111;85236;9869;3065;10499;8334;117143;92815;54815;79918;8089;1387;11091;5929;6603;23186;9767;58508;54904;9682;55257;64769;595;8289;5927;221656;84678;8365;23338;5253;8607;23512;7862;11240;5931;284058;2033;8726;57634;93624;8337;56970;8347;10498;7468;23135;55818;79813;6944;387893;5970;27097;80853	completed	Reactome_preranked_GSEA_fallback	Chromatin modifying enzymes	271	cancer_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	RBBP4;EZH2;CHD4;SETD1B;SMYD3;SMARCC1;PHF8;KDM4B;KDM2A;CHD3;BRWD1;KMT2D;DNMT3A;MTA1;RUVBL2;ACTL6A;KAT2A;ELP2;KMT2B;BRMS1;PBRM1;USP22;H2AX;MORF4L2;H2BC21;KANSL2;SUDS3;ARID2;TRRAP;EHMT2;KAT6A;BRD8;ING5;H3C10;MSL1;KMT5B;H2BC12;SETDB1;HDAC1;NCOA2;H2AC6;TADA1;H2AC25;GATAD2A;SETD6;YEATS4;CREBBP;WDR5;RBBP5;SMARCD2;RCOR1;JADE3;KMT2C;NSD3;KDM4A;MRGBP;MEAF6;CCND1;ARID1A;KDM5A;KDM1B;KDM2B;H4C8;JADE2;PHF2;RUVBL1;SUZ12;BRPF1;PADI2;RBBP7;KANSL1;EP300;EED;EP400;TADA2B;H2AC18;ATXN7L3;H2BC4;CARM1;NSD2;KDM6B;KDM3A;EHMT1;VPS72;KMT5A;RELA;TAF5L;KDM7A
R-HSA-73886	3.07164636897183e-10	8.39788117276899e-08	0.814035837847908	0.553815272159081	2.30637891940001	117	5928;63922;3978;5424;57082;5437;64105;55164;10856;890;1736;3014;79019;8349;5983;79682;201254;1616;5111;25913;1058;1763;2237;5984;79172;55355;85236;8334;54433;55839;378708;5430;51773;641;1017;8365;54069;5433;8607;5931;55291;23243;387103;55651;8337;65057;8347;55135;23421;7486;5558;3020;7013	completed	Reactome_preranked_GSEA_fallback	Chromosome Maintenance	140	cancer_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	RBBP4;CHTF18;LIG1;POLD1;KNL1;POLR2H;CENPK;SHQ1;RUVBL2;CCNA2;DKC1;H2AX;CENPM;H2BC21;RFC3;CENPU;CENPX;DAXX;PCNA;POT1;CENPA;DNA2;FEN1;RFC4;CENPO;HJURP;H2BC12;H2AC6;GAR1;CENPN;CENPS;POLR2A;RSF1;BLM;CDK2;H4C8;MIS18A;POLR2D;RUVBL1;RBBP7;PPP6R3;ANKRD28;CENPW;NHP2;H2AC18;ACD;H2BC4;WRAP53;ITGB3BP;WRN;PRIM2;H3-3A;TERF1
R-HSA-68886	4.55701265194322e-10	1.0382393825344e-07	0.814035837847908	0.393316153527944	1.90742144427207	359	55920;8480;51433;92421;991;891;11130;55055;8481;983;95681;11065;23133;3842;4751;57082;9814;9133;10051;7840;8815;10112;64105;5905;348995;1453;11004;9700;701;83540;7112;23047;3014;55706;2029;79019;29922;8349;79682;80321;54892;1058;8357;23165;9493;151246;22897;23383;11116;4957;79172;7277;85236;10403;140735;8334;9738;8243;1104;55143;11243;22981;29882;9735;23354;147841;55839;4926;5885;5518;22933;378708;23063;23225;9662;23592;7329;64682;9818;8365;10762;57405;7514;1778;10142;129401;221496;113130;54820;5527;332;2801;79902;4928;26271;121441;6683;10733;128866;64151;8337;51434;23279;25909;8347;26003;9918;23310;23421;699;55835;54821;3020;387893	completed	Reactome_preranked_GSEA_fallback	M Phase	405	cancer_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	RCC2;RAE1;ANAPC5;CHMP4C;CDC20;CCNB1;ZWINT;ZWILCH;OFD1;CDK1;CEP41;UBE2C;PHF8;TNPO1;NEK2;KNL1;SFI1;CCNB2;SMC4;ALMS1;BANF1;KIF20A;CENPK;RANGAP1;NUP43;CSNK1D;KIF2C;ESPL1;BUB1B;NUF2;TMPO;PDS5B;H2AX;NDC1;ENSA;CENPM;NME7;H2BC21;CENPU;CEP70;NCAPG2;CENPA;H3C10;NUP205;KIF23;SGO2;CEP164;MAU2;CEP43;ODF2;CENPO;TUBA4A;H2BC12;NDC80;DYNLL2;H2AC6;CCP110;SMC1A;RCC1;CDCA8;PMF1;NINL;ANAPC2;KNTC1;HAUS5;SPC24;CENPN;NUMA1;RAD21;PPP2R1A;SIRT2;CENPS;WAPL;NUP210;CEP135;LEMD3;UBE2I;ANAPC1;NUP58;H4C8;NUP50;SPC25;XPO1;DYNC1H1;AKAP9;NUP35;LEMD2;CDCA5;NDE1;PPP2R5C;BIRC5;GOLGA2;NUP85;NUP98;FBXO5;NEDD1;SPAST;PLK4;CHMP4B;NCAPG;H2AC18;ANAPC7;NUP160;AHCTF1;H2BC4;GORASP2;NCAPD2;NCAPD3;ITGB3BP;BUB1;CPAP;ERCC6L;H3-3A;KMT5A
R-HSA-1428517	6.42255531891157e-10	1.25423330299316e-07	0.801215574617779	-0.478687005998282	-2.02863455415681	240	515;137872;8802;4199;1346;5091;57546;4190;135154;8803;51660;23479;5166;80224;2110;5164;38;2108;6392;3419;2109;84833;79018;83733;84987;5160;389203;1737;4724;29796;1350;1738;4700;91942;5161;539;92259;23530;514;7385;29078;1431;81689;440957;6341;4711;6390;522;79133;7311;27109;25915;10873;51103;57001;7381;7416;7316;1349;23409;4729;1353;3313;28976;90624;84233;84701;57128;518;7352;7386;4536;10632;4697;7388;55967;4719;506;148811;6391;4709;93058;6233;4731;9556;90871;4538;4512;8801;1329;29090;25994;4750;4508;5018;4696;4725	completed	Reactome_preranked_GSEA_fallback	Aerobic respiration and respiratory electron transport	258	normal_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	ATP5PB;ADHFE1;SUCLG1;ME1;COX7A1;PC;PDP2;MDH1;SDHAF4;SUCLA2;MPC1;ISCU;PDK4;NUBPL;ETFDH;PDK2;ACAT1;ETFA;SDHD;IDH3A;ETFB;ATP5MK;GID4;SLC25A18;COX14;PDHA1;SMIM20;DLAT;NDUFS4;UQCR10;COX7C;DLD;NDUFA6;NDUFAF2;PDHA2;ATP5PO;KGD4;NNT;ATP5F1E;UQCRC2;NDUFAF4;CS;ISCA1;UQCC5;SCO1;NDUFB5;SDHB;ATP5PF;NDUFAF5;UBA52;DMAC2L;NDUFAF3;ME3;NDUFAF1;SDHAF3;UQCRB;VDAC1;UBC;COX7B;SIRT4;NDUFV2;COX11;HSPA9;ACAD9;LYRM7;TMEM126A;COX4I2;LYRM4;ATP5MC3;UCP3;UQCRFS1;MT-ND2;ATP5MG;COXFA4;UQCRH;NDUFA12;NDUFS1;ATP5F1B;PM20D1;SDHC;NDUFB3;COQ10A;RPS27A;NDUFV3;ATP5MJ;DMAC1;MT-ND4;MT-CO1;SUCLG2;COX5B;TIMM21;HIGD1A;NEK1;MT-ATP6;OXA1L;NDUFA3;NDUFS5
R-HSA-500792	1.55175929203183e-09	2.65156869025938e-07	0.788186810800237	-0.404842875889597	-1.8073512685315	419	4828;153;51554;8843;54331;1901;154;3973;338557;8322;7481;151306;5745;4889;64805;10203;9934;7855;133;552;2791;301;1910;150;7482;5179;148;5737;3579;5733;57007;1393;1902;2357;10316;2852;1880;6387;3357;6347;60675;5732;259285;3062;10161;1392;1814;4852;7478;6375;2864;5734;4922;56670;5746;728;55970;2692;3269;80326;1395;10266;5173;9718;128674;9002;7484;3640;5995;117579;6865;3354;7479;4543;6360;624;10692;80835;1269;84109;50846;147;3375;185;7201;170589;7480;2913;84658;6372;10022;53829;2532;6374;6357;976;2641;1906;257313;3356;5731;122042;5744;1240;719;718;2642;2912;5443;84432;30817;6866;6346;2925;4544;113091;7432;9890;3361;134;4161;5727;183;4987;6351	completed	Reactome_preranked_GSEA_fallback	GPCR ligand binding	470	normal_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	NMB;ADRB1;ACKR4;HCAR3;GNG2;S1PR1;ADRB2;LHCGR;FFAR4;FZD4;WNT11;GPBAR1;PTH1R;NPY5R;P2RY12;CALCRL;P2RY14;FZD5;ADM;AVPR1A;GNG11;ANXA1;EDNRB;ADRA2A;WNT2B;PENK;ADRA1A;PTGFR;CXCR2;PTGER3;ACKR3;CRHBP;LPAR1;FPR1;NMUR1;GPER1;GPR183;CXCL12;HTR2B;CCL2;PROK2;PTGER2;TAS2R39;HCRTR2;LPAR6;CRH;DRD3;NPY;WNT8A;XCL1;FFAR1;PTGER4;NTS;SUCNR1;PTH2R;C5AR1;GNG12;GHRHR;HRH1;WNT10A;CRHR2;RAMP2;PDYN;ECE2;PROKR2;F2RL3;WNT9B;INSL3;RGR;RLN3;TACR2;HTR1E;WNT8B;MTNR1A;CCL16;BDKRB2;RRH;TAS1R1;CNR2;QRFPR;DHH;ADRA1B;IAPP;AGTR1;TRHR;GPHA2;WNT10B;GRM3;ADGRE3;CXCL6;INSL5;P2RY13;ACKR1;CXCL5;CCL13;ADGRE5;GCG;EDN1;UTS2B;HTR2A;PTGER1;RXFP2;PTHLH;CMKLR1;C3AR1;C3;GCGR;GRM2;POMC;PROK1;ADGRE2;TAC3;CCL1;GRPR;MTNR1B;PTH2;VIP;PLPPR4;HTR5A;ADORA1;MC5R;PTCH1;AGT;OPRL1;CCL4
R-HSA-72187	2.10891165581619e-09	3.20320248166748e-07	0.774939030136436	0.495744110957158	2.14588304197673	145	5094;9584;6627;8189;2521;3192;5437;26097;29894;6426;3178;3184;10921;8241;3181;3190;5514;8106;79869;10212;6427;55660;1660;6628;11052;5499;6636;6431;79228;22827;9775;1665;3191;9939;5430;55339;4670;10915;23451;6428;6637;27316;1477;5433;6634;51585;1478;9295;55749;220988;6638;6432;57794;8175;10189;10181;55110;6430;1479;57187;6434	completed	Reactome_preranked_GSEA_fallback	mRNA 3'-end processing	152	cancer_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	PCBP2;RBM39;SNRPA1;SYMPK;FUS;HNRNPU;POLR2H;CHTOP;CPSF1;SRSF1;HNRNPA1;HNRNPD;RNPS1;RBM10;HNRNPA2B1;HNRNPK;PPP1R10;PABPN1;CPSF7;DDX39A;SRSF2;PRPF40A;DHX9;SNRPB;CPSF6;PPP1CA;SNRPF;SRSF6;THOC6;PUF60;EIF4A3;DHX15;HNRNPL;RBM8A;POLR2A;WDR33;HNRNPM;TCERG1;SF3B1;SRSF3;SNRPG;RBMX;CSTF1;POLR2D;SNRPD3;PCF11;CSTF2;SRSF11;CCAR1;HNRNPA3;SNRPN;SRSF7;SUGP1;SF3A2;ALYREF;RBM5;MAGOHB;SRSF5;CSTF3;THOC2;TRA2B
R-HSA-72203	4.44202473694808e-09	6.07224781540803e-07	0.761460801445585	0.403658934668884	1.90935429312984	282	5094;8480;9584;6627;8189;2521;3192;5437;56339;26097;29894;6426;3178;27339;3184;10921;8241;348995;3181;7536;3190;23020;55706;5514;8106;79869;10212;6427;9129;51747;55660;23165;1660;5411;6628;11052;5499;6636;6431;79228;24148;22827;22985;10482;51340;9775;1665;3191;9939;25804;5430;10084;23225;55339;79622;4670;10915;23451;6428;6637;27316;9818;51428;1477;10762;57819;5433;5546;9416;6634;129401;51585;1478;55696;9295;55749;220988;51729;6638;6432;79902;4928;57794;51690;8175;10189;163859;23279;10181;55110;6430;1479;57187;51645;55094;2733;6434;23658	completed	Reactome_preranked_GSEA_fallback	Processing of Capped Intron-Containing Pre-mRNA	294	cancer_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	PCBP2;RAE1;RBM39;SNRPA1;SYMPK;FUS;HNRNPU;POLR2H;METTL3;CHTOP;CPSF1;SRSF1;HNRNPA1;PRPF19;HNRNPD;RNPS1;RBM10;NUP43;HNRNPA2B1;SF1;HNRNPK;SNRNP200;NDC1;PPP1R10;PABPN1;CPSF7;DDX39A;SRSF2;PRPF3;LUC7L3;PRPF40A;NUP205;DHX9;PNN;SNRPB;CPSF6;PPP1CA;SNRPF;SRSF6;THOC6;PRPF6;PUF60;ACIN1;NXF1;CRNKL1;EIF4A3;DHX15;HNRNPL;RBM8A;LSM4;POLR2A;PQBP1;NUP210;WDR33;SNRNP25;HNRNPM;TCERG1;SF3B1;SRSF3;SNRPG;RBMX;NUP58;DDX41;CSTF1;NUP50;LSM2;POLR2D;PRCC;DDX23;SNRPD3;NUP35;PCF11;CSTF2;RBM22;SRSF11;CCAR1;HNRNPA3;WBP11;SNRPN;SRSF7;NUP85;NUP98;SUGP1;LSM7;SF3A2;ALYREF;SDE2;NUP160;RBM5;MAGOHB;SRSF5;CSTF3;THOC2;PPIL1;GPATCH1;GLE1;TRA2B;LSM5
R-HSA-3108232	8.09842001912783e-09	1.00641274237707e-06	0.747739663149885	0.460154683989912	2.06530849638542	175	7020;8535;7421;8480;1786;6996;7153;10155;7022;10521;1107;51588;10401;1788;5905;9112;348995;1789;3190;55706;23468;9656;1616;5111;23165;6294;84733;3065;10499;51602;8243;55143;5987;25942;2099;1387;5885;23225;4193;7329;641;7150;9818;7158;7155;8365;10762;648;129401;23512;7690;57591;6612;6670;332;2033;79902;4928;142;8924;6045;23279;54780;1912;7021;672;5241;5371;7486;367;9641;5970;9631;5610;9688	completed	Reactome_preranked_GSEA_fallback	SUMO E3 ligases SUMOylate target proteins	182	cancer_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	TFAP2A;CBX4;VDR;RAE1;DNMT1;TDG;TOP2A;TRIM28;TFAP2C;DDX17;CHD3;PIAS4;PIAS3;DNMT3A;RANGAP1;MTA1;NUP43;DNMT3B;HNRNPK;NDC1;CBX5;MDC1;DAXX;PCNA;NUP205;SAFB;CBX2;HDAC1;NCOA2;NOP58;SMC1A;CDCA8;TRIM27;SIN3A;ESR1;CREBBP;RAD21;NUP210;MDM2;UBE2I;BLM;TOP1;NUP58;TP53BP1;TOP2B;H4C8;NUP50;BMI1;NUP35;SUZ12;ZNF131;MRTFA;SUMO3;SP3;BIRC5;EP300;NUP85;NUP98;PARP1;HERC2;RNF2;NUP160;NSMCE4A;PHC2;TFAP2B;BRCA1;PGR;PML;WRN;AR;IKBKE;RELA;NUP155;EIF2AK2;NUP93
R-HSA-9918481	1.37520795102016e-08	1.56659105753713e-06	0.747739663149885	0.412035450079587	1.91454486629432	257	6382;5094;6385;818;6627;8189;2521;7706;4751;3192;5437;29894;6426;3178;10421;27339;3184;10921;8241;3181;3190;23020;8349;8106;79869;1616;6427;54623;64223;8357;1994;1660;6628;11052;85236;8334;92815;6636;550;6431;24148;22827;51340;9775;1665;3191;5430;3326;10084;55339;4670;2817;23451;123169;6428;7329;6637;27316;6993;1477;253260;8365;5433;5546;9416;6634;51585;1478;55696;9295;11100;55749;220988;1993;340061;79109;51729;6638;4318;6432;57794;8175;10189;8337;8737;10181;8347;5371;6430;1479;1499;51645;23352	completed	Reactome_preranked_GSEA_fallback	Dengue Virus-Host Interactions	292	cancer_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	SDC1;PCBP2;SDC4;CAMK2G;SNRPA1;SYMPK;FUS;TRIM25;NEK2;HNRNPU;POLR2H;CPSF1;SRSF1;HNRNPA1;CD2BP2;PRPF19;HNRNPD;RNPS1;RBM10;HNRNPA2B1;HNRNPK;SNRNP200;H2BC21;PABPN1;CPSF7;DAXX;SRSF2;PAF1;MLST8;H3C10;ELAVL1;DHX9;SNRPB;CPSF6;H2BC12;H2AC6;H2AC25;SNRPF;AUP1;SRSF6;PRPF6;PUF60;CRNKL1;EIF4A3;DHX15;HNRNPL;POLR2A;HSP90AB1;PQBP1;WDR33;HNRNPM;GPC1;SF3B1;LEO1;SRSF3;UBE2I;SNRPG;RBMX;DYNLT1;CSTF1;RICTOR;H4C8;POLR2D;PRCC;DDX23;SNRPD3;PCF11;CSTF2;RBM22;SRSF11;HNRNPUL1;CCAR1;HNRNPA3;ELAVL2;STING1;MAPKAP1;WBP11;SNRPN;MMP9;SRSF7;SUGP1;SF3A2;ALYREF;H2AC18;RIPK1;RBM5;H2BC4;PML;SRSF5;CSTF3;CTNNB1;PPIL1;UBR4
R-HSA-418555	1.80654870823582e-08	1.89965544935259e-06	0.73376198835648	-0.515706863460455	-2.06551840270333	145	50940;5140;153;5138;5139;54331;154;3973;151306;2770;5745;10203;133;8622;157;2791;5577;5136;2852;2869;111;5732;5568;1392;5151;5153;112;408;5734;5746;27115;55970;2692;196883;1395;10266;3640;117579	completed	Reactome_preranked_GSEA_fallback	G alpha (s) signalling events	157	normal_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	PDE11A;PDE3B;ADRB1;PDE2A;PDE3A;GNG2;ADRB2;LHCGR;GPBAR1;GNAI1;PTH1R;CALCRL;ADM;PDE8B;GRK3;GNG11;PRKAR2B;PDE1A;GPER1;GRK5;ADCY5;PTGER2;PRKACG;CRH;PDE8A;PDE1B;ADCY6;ARRB1;PTGER4;PTH2R;PDE7B;GNG12;GHRHR;ADCY4;CRHR2;RAMP2;INSL3;RLN3
R-HSA-5633007	1.96270717470055e-08	1.91644336272547e-06	0.73376198835648	0.474806931987779	2.05568280789825	152	5928;1108;10848;79837;580;983;80010;1107;6874;5170;890;22974;84126;94241;5983;83695;10919;4194;7994;1616;84289;64223;1763;5984;3065;5883;6873;7874;54815;116028;6749;5518;6882;4193;64769;80196;54971;641;1017;83990;253260;51616;11200;7156;7862;144715;6908;5810;5931;79109;5527;2033;8851;6878;1020;26013;672;4361;5371;7486;79813;5932;8445;207;387893	completed	Reactome_preranked_GSEA_fallback	Regulation of TP53 Activity	156	cancer_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	RBBP4;CHD4;PPP1R13L;PIP4K2C;BARD1;CDK1;RMI1;CHD3;TAF4;PDPK1;CCNA2;TPX2;ATRIP;TP53INP1;RFC3;RHNO1;EHMT2;MDM4;KAT6A;DAXX;ING5;MLST8;DNA2;RFC4;HDAC1;RAD9A;TAF2;USP7;GATAD2A;RMI2;SSRP1;PPP2R1A;TAF11;MDM2;MEAF6;RNF34;BANP;BLM;CDK2;BRIP1;RICTOR;TAF9B;CHEK2;TOP3A;BRPF1;RAD9B;TBP;RAD1;RBBP7;MAPKAP1;PPP2R5C;EP300;CDK5R1;TAF6;CDK5;L3MBTL1;BRCA1;MRE11;PML;WRN;EHMT1;RBBP8;DYRK2;AKT1;KMT5A
R-HSA-5693532	3.29363453283491e-08	3.00159893759022e-06	0.719512826338911	0.464002540052703	2.0154467942997	153	580;5424;80010;23030;10635;3838;51588;63979;3980;890;22976;3014;84126;8349;5983;83695;5531;9656;5427;5111;348654;1763;80198;2237;5984;5426;85236;5883;5888;116028;197342;5591;9682;7329;641;1017;7515;83990;7158;8365;11200;7156;144715;5810;2140;55775;142;8924;6047;8347;7520;672;79728;7468;4361;5599;7486;9025;5932	completed	Reactome_preranked_GSEA_fallback	DNA Double-Strand Break Repair	170	cancer_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	BARD1;POLD1;RMI1;KDM4B;RAD51AP1;KPNA2;PIAS4;FIGNL1;LIG3;CCNA2;PAXIP1;H2AX;ATRIP;H2BC21;RFC3;RHNO1;PPP4C;MDC1;POLE2;PCNA;GEN1;DNA2;MUS81;FEN1;RFC4;POLE;H2BC12;RAD9A;RAD51;RMI2;EME2;PRKDC;KDM4A;UBE2I;BLM;CDK2;XRCC1;BRIP1;TP53BP1;H4C8;CHEK2;TOP3A;RAD9B;RAD1;EYA3;TDP1;PARP1;HERC2;RNF4;H2BC4;XRCC5;BRCA1;PALB2;NSD2;MRE11;MAPK8;WRN;RNF8;RBBP8
